Name,Invalid
ချစ်ကြည်ရေး,"18,10,21,27"
ပိတောက်ရိပ်,0
နန်းတော်ဝင်,0
ထင်ကရ,0
အလင်းရောင်,0
သုန္ဒရီ,0
ဆုဖလား,"18,10,21,27"
စကားဝါ,"18,10,21"
ဆူရှီဘုရင်,"18,10,21,27"
စံတော်ဝင်,0
အိဖောင်းလေး,"18,10,21,27"
ခြူးခြူးလေး,0
ချစ်ခလေး,"18,10,21,27"
လုံမလေး,"18,10,21,27"
ရွှေရွှေလေး,"18,10,21,27"
ပီတိရိပ်,18
ဆုံစည်းရာ,"18,10,21,27"
အောင်ဇေယျ,0
ဇမ္ဗူလင်း,0
ပန်ဒိုရာ,0
နဝရတ်,0
တက်နေဝန်း,0
ရွှေရုပ်လွှာ,"18,10,21,27"
ရွှေတော်ဝင်,0
ငွေခရု,0
သိင်္ဂီဝင်း,0
ကြယ်တာရာ,0
တာရာ,0
ငွေတာရာ,0
ငွေတာရီ,0
စလင်းဝါ,0
သလင်းဝါ,0
ပတ္တမြားရောင်,0
နီလာ,0
ရွှေဖလား,0
ရွှေဖရုံ,0
ရွှေလရောင်,0
ရွှေဘယက်,0
ဝက်ဘုရင်,"18,10,21,27"
ရှင်ဘုရင်,"18,10,21,27"
ရောင်းရင်း,"18,10,21,27"
ရတနာလဝန်း,18
ရွှန်းလဲ့လဝါ,18
ရွှေတက်လမ်း,18
ရွှေရွက်လွှာ,18
ဖယောင်း,0
ရွှေလဝါ,18
ရွှေလဝန်း,18
ရွှန်းလဲ့ဝေ,18
ကြယ်စင်ဝင်း,18
လရွှေယုန်,0
ဖိုးလဝန်း,0
ရူပါရုံ,18
ခေတ်ဆန်းယဥ်,0
ရွှေအလင်း,0
ရောင်စဥ်လှိုင်း,0
မြင့်မြတ်တော်ဝင်,0
ပါဝါ,0
ပယင်း,0
ပုလဲ,0
ပိတောက်‌ရွှေဝါ,0
ပီယ,18
ပေဖူးလွှာ,0
ပေဖူးရွက်လွှာ,0
ပေရွက်လွှာ,0
ဟန်လင်း,0
အင်းဝ,0
သရေခေတ္တရာ,0
ပဲ့ကိုင်ရှင်,18
ပေါ်ပြူလာ,0
ပင်းတယ,0
ပဥ္စလက်,0
ပုဏ္ဏရိက်,0
ပတ္တမြားဒေဝီ,18
ပတ္တလား,0
ကလျာဒေဝီ,"18,10,21,27"
ဓနရှင်,"18,10,21,27"
ပန်းဝတ်ရည်,"18,10,21,27"
ပုလ္လင်,"18,10,21,27"
ရွှေပုလ္လင်,"18,10,21,27"
ရာဇပလ္လင်,"18,10,21,27"
သမ္မာဒေဝ,"18,10,21,27"
သီတာဒေဝီ,"18,10,21,27"
ပျားရည်,"18,10,21,27"
ပျံလွှား,0
ပြောင်မြောက်လက်ရာ,0
သုခပြည့်လျှံ,"18,10,21,27"
ပွင့်ချပ်လွှာ,"18,10,21,27"
ပွင့်လန်း,"18,10,21,27"
ပွင့်လျာ,"18,10,21,27"
ဝတ်ရည်,"18,10,21,27"
ရွှန်းလဲ့ရည်,"18,10,21,27"
ရွှန်းလဲ့လဲ့,"18,10,21,27"
ရဲဝင့်,0
ရဲမာန်ဝင့်,0
တိမ်ပင်လယ်,"18,10,21,27"
ရွှေပင်လယ်,"18,10,21,27"
ငွေပင်လယ်,"18,10,21,27"
ညှို့မျက်ဝန်း,"18,10,21,27"
ဆန်းသစ်ယဥ်,0
ဖလား,"18,10,21,27"
ဖလားဝါး,"18,10,21,27"
ပိုးဖလံ,"18,10,21,27"
ဖရုံ,"18,10,21,27"
ဖူးစာရှင်,"18,10,21,27"
ဖိုးဝရုပ်,"18,10,21,27"
ဗီတာမင်ယူ,"18,10,21,27"
ဗေဒါလမ်း,"18,10,21,27"
ဘယက်,"18,10,21,27"
ဘဝ,"18,10,21,27"
ဘိသိက်မင်္ဂလာ,"18,10,21,27"
ဘုရင်,"18,10,21,27"
ဖုန်းဘုရင်,"18,10,21,27"
ပီဇာဘုရင်,"18,10,21,27"
ဘောဂဗလ,0
ဘော်ဒါရောင်းရင်း,18
ဘော်ဒါတွေဆုံရင်,18
ဘင်ခရာ,0
ဘုန်းတန်ခိုးဂုဏ်ရှိန်,"18,10,21,27"
ဘုန်းလက်ရုံး,"18,10,21,27"
ဘုန်းတန်ခိုးလက်ရုံး,"18,10,21,27"
ဘွိုင်းတို့ဆုံရာ,"18,10,21,27"
ခတ်တော်ဝင်,0
ဆန်းသစ်တော်ဝင်,0
ရတနာသီရိ,18
သီရိ,18
ကျော်ဇေယျ,0
သဇင်ဝါ,"18,10,21,27"
သဘာဝ,0
ဟော့ပေါ့ဘုရင်,"18,10,21,27"
သိဒ္ဓတော်ဝင်,0
သိဒ္ဓဝင်,0
နေနဲ့လ,0
ကြီးပွားရေး,"18,10,21"
ချစ်နှင်းဝေ,"18,10,21,27"
ဆင်ရိုင်း,0
ရွှေရုပ်လွာ,"18,10,21,27"
ရွှေပေလွှာ,"18,10,21,27"
သုခတော်ဝင်,18
လေးညှို့ရှင်,"18,10,21,27"
တောဘုရင်,"18,10,21,27"
တန်ခိုးဂုဏ်ရှိန်,0
တက်လမ်း,18
အားအင်ပြည့်,0
အောင်မြင့်မား,0
အေးမြင့်မြတ်,0
ချမ်းသာမြင့်,0
သစ်ခွပန်း,"18,10,21,27"
အောင်သပြေ,0
ဘုရင်မ,0
နဂါးပျံ,0
ရွှေလာဘ်ပွင့်,18
မနောဖြူ,18
အင်းယားမြိုင်,0
အနုသုခုမ,"18,10,21,27"
အောင်စည်ပင်,18
အောင်သစ်မြေ,0
အောင်စည်ဖြိုး,18
အောင်မြင့်မြတ်,0
အာကာမင်း,0
ဇူလှိုင်မိုး,0
ရွှေလွန်းပျံ,0
ချယ်ရီမြေ,0
စွမ်းသုမာန်,0
ပြည့်ဇွဲမာန်,0
နှင်းပွင့်ဖြူ,"18,10,21,27"
မြတ်ဆုမွန်,0
အောင်မြင့်မိုး,0
အောင်လှမြေ,18
မြို့စားမင်း,"18,10,21,27"
ပါရမီ,0
သင်းပျံပျံ,"18,10,21,27"
သရဖူ,0
ငွေဗိမာန်,0
ငွေဗျိုင်းဖြူ,0
ကြည်သာရွှင်ပျ,18
ချမ်းမြေ့မောင်,0
ခေတ်သစ်စီးပွား,18
ခိုင်မာ,0
ခေတ်ပျိုမေ,"18,10,21,27"
ခတ်ဆန်းဖြိုး,0
ဘုန်းမြတ်ပိုင်,0
ရတနာပုံ,0
ပန်းကမ္ဘာ,"18,10,21,27"
ခေတ်သစ်မေ,"18,10,21,27"
ရွှေမြင့်မိုရ်,0
ရွှေညာမြေ,0
ကချင်မ,"18,10,21,27"
ရွှေအိမ်မက်,18
စိမ်းလဲ့မြိုင်,0
ရွှေကမ္ဘာ,0
ရွှေငွေမင်း,0
စင်ကာပူ,0
မြကြာဖြူ,0
ရွှေကြာပွင့်,0
တော်ဝင်ကျား,0
ကောင်းကင်ပြာ,0
ငွေလမင်း,0
စိန်နဲ့မြ,0
စံဝင်နန်းနိဗ္ဗာန်,0
ဇာတ်သဘင်,"18,10,21,27"
စံချိန်,0
စံချိန်မီ,0
စံခိုင်မာ,0
ဇွဲသစ်မောင်,0
ဆန်းသစ်ကမ္ဘာ,0
မိုးစက်ပွင့်,0
မောင်ကမ္ဘာ,0
အနူးဘစ်,0
ဇူဇူဘမ်း,"18,10,21,27"
ကံထူးမ,18
အေးချမ်းမိုး,0
ရွှေဆင်မင်း,0
ဖိုးလမင်း,0
ဒေါ်စိန်မြင့်,0
ခြင်္သေ့မင်း,0
နဝမ,0
ပဒုံမာ,0
မဇ္စျိမ,0
သူဌေးမင်း,"18,10,21,27"
အိမမ,"18,10,21,27"
ချိန်ခါမီ,18
ဒိုင်းနမိုက်,0
ငွေကမ္ဘာ,0
စိန်ကမ္ဘာ,0
လကမ္ဘာ,0
ကမ္ဘာမြေ,0
ရွှေသရဖူ,0
ငွေသရဖူ,0
စိန်သရဖူ,0
ကျော်ကြားမောင်,0
သူရောင်မယ်,"18,10,21,27"
ပတ္တမြား,0
ပတ္တမြားငမောက်,0
ကြူကြူမွှေး,"18,10,21,27"
လက်တွဲဖော်,"18,10,21,27"
ရစ်ဗွန်,0
ဝသန်မိုး,0
ယင်းမာ,0
ဝင်္ကပါ,0
ရွှေဗိမာန်,0
ရတနာမြင့်,0
ရတနာမိုးမြင့်,0
ရတနာမြင့်မိုရ်,0
ဝင့်ဖြိုးဝေ,0
အင်ကြင်းမြိုင်,0
စံပါယ်,0
စံပါယ်ဖြူ,0
ငွေစံပါယ်,0
ငွေစံပါယ်ဖြူ,0
ရွှေဝါမြေ,0
လဝန်းမေ,"18,10,21,27"
ရွှန်းလဲ့မေ,"18,10,21,27"
မြင်းပျံ,0
ရွှေနဂါးပျံ,0
ရွှေရူပါ,18
စံပါယ်မြိုင်,0
ခြင်္သေ့မာန်,0
ဇူလိုင်မိုး,0
ဒီဇင်ဘာ,0
ကံကောင်းပွင့်,18
ကံပွင့်,0
တော်ဝင်မြင့်မြတ်,0
စံပြ,0
ပဒုမ္မာ,0
ပညာရိပ်မြုံ,18
ပိတောက်‌ရွှေဝါမြေ,0
ပီတိရိပ်မြုံ,18
မင်းနေပြည်,0
နတ်မောက်,0
ပိုးကတ္တီပါ,"18,10,21,27"
ပေါက်ပန်းဖြူ,0
ပင်လယ်ပြာ,0
ပစ်မှတ်,0
ပစ္စုပ္ပန်,18
ပဥ္စမံ,0
ပတ္တမြား,0
ပတ္တမြားငမောက်,0
ပတ္တမြားဂမုန်း,18
ပုန်းညှက်ဖြူ,0
ဦးဆောက်ပန်း,0
နန္ဒာရာမ,0
ရာမ,0
မင်းရာမ,0
သရပါ,0
တမ္ပဒီပ,0
လက်ရာမြောက်,18
ပြည့်ဖြိုး,0
ပန်းဝတ်မှုန်,0
ရွှေဝတ်မှုန်,0
သင်းပျံ့မွေး,0
မျက်ဝန်းပြာ,"18,10,21,27"
ရဲဝင့်မာန်,0
ဖက်ဆွတ်မိုး,0
ဖြိုးမောက်,0
ဗဟိုမှတ်,0
ဗီတာမင်,18
ဗေဒါပျံ,0
ဗိုလ်ရှုသဘင်,0
ဗျူဟာမှူး,0
ဘာသာစာပေ,0
ဘူမိ,0
ဘေးမဲ့,0
ဘဲဥဖြူ,0
ဘေးဘိုးအမွေ,0
ဘိုးဘွားပိုင်,0
ဘေးဘိုး,0
သဘင်,0
ပြည်တန်ပတ္တမြား,0
မြတ်သောမောင်,0
မြတ်သစ်မောင်,0
မြတ်ဆန်းဖြိုး,0
မြတ်ဆန်းမိုး,0
ညီနောင်စီးပွား,"18,10,21,27"
ကောင်းအောင်မြင်,0
အောင်ကောင်းမြင့်,0
အောင်ကောင်းမြတ်,0
ရွှေမြင်း,0
ခတ်မြင်းပျံ,0
သင်္ကြန်မိုး,"18,10,21,27"
သဇင်ဖြူ,0
သုခုမ,0
သုဝဏ္ဏဘူမိ,0
သိဒ္ဓမောင်,0
သစ်ဆန်းအောင်မြင်,0
ရွှေနဲ့မြ,0
တိုးတက်မောင်,0
ရတနာစည်းပွား,18
ဆောင်းလေပြေ,"18,10,21,27"
နှင်းပန်းဖြူ,"18,10,21,27"
ပန်းအိဖြူ,"18,10,21,27"
သုခမြိုင်,0
ဖူးစာဖက်,"18,10,21,27"
ချမ်းမြေ့,0
ချမ်းမြေ့မြိုင်,0
နန်းဗိမာန်,0
နတ်ဗြဟ္မာ,0
နန်းတော်မြင့်,0
တိုးတက်မာန်,0
တင့်ဖြိုးဝေ,0
အားအင်သစ်,0
အားမာန်သစ်,0
အောင်နိုင်သူ,0
အောင်ချမ်းသာ,0
မင်းထက်သာ,0
သန်းကြွယ်သူ,0
ငြိမ်းချမ်းသူ,0
ရွှေရသာ,0
မနသီ,0
ပေးဆပ်သူ,0
အောင်မြင်သစ်,0
အောင်သီဟ,0
အောင်မြေသစ်,0
တော်ဝင်သစ်,0
ရွှေနန်းသစ်,0
မြင့်မြတ်သူ,0
ဂုဏ်မြင့်သူ,0
တော်ဝင်သူ,0
ဇွဲမာန်ဟိန်း,0
ဇမ္ဗူဟိန်း,0
မြင့်မိုရ်ဟိန်း,0
ထက်မြတ်သာ,0
လဝန်းသာ,0
ခေတ်ဆန်းသစ်,0
ရခိုင်သူ,"18,10,21,27"
အသွင်သစ်,0
ကမ္ဘာသစ်,0
မင်းသီဟ,0
စည်ဗဟို,0
ဇွဲထက်သာ,0
ကျောက်မဲသား,0
ရှမ်းမင်းသား,0
နနတ်သီး,"18,10,21,27"
မြင့်မြတ်သူ,0
မြို့ကြီးသူ,0
ရွှေညာသူ,0
အေးချမ်းသာ,0
ကဝသူ,"18,10,21,27"
မနောသူ,"18,10,21,27"
ရွှေခြင်္သေ့,0
ရွှေဂုန်သူ,"18,10,21,27"
ရတနာပွင့်သစ်,18
ရွှေမြိုင်သူ,"18,10,21,27"
ရွှေခိုင်သူ,"18,10,21,27"
ရွှေလသာ,0
ရွှေညာသား,"18,10,21,27"
ရွှေသီဟ,0
ရောင်စဥ်သစ်,0
ရွှေရောင်စဥ်သစ်,0
ကောင်းကျိုးသစ်,0
ဟေသာ,18
စံချိန်သစ်,18
ဆန်းသစ်,18
နန်းတော်သစ်,0
ပဒေသာ,0
ပိတုန်းကေသာ,"18,10,21,27"
ပေးဆပ်သူ,0
ဟင်္သာ,"18,10"
ရွှေဟင်္သာ,0
ပိုးသား,"18,10,21,27"
ပဥ္စလောဟာ,"18,10,21,27"
မင်းကုသ,"18,10,21,27"
မင်းဒဿ,"18,10,21,27"
ပြည့်ဝချမ်းသာ,0
ပြည်လုံးချမ်းသာ,0
သုခချမ်းသာ,0
မျက်ဝန်းသစ်,"18,10,21,27"
မိုးဝသန်,0
ဗဟန်း,0
ဗျူဟာ,0
